RecordTimeStamp,CurrentSystemTick,JobsId,WorkerId,ArrivalTime,AssignTime,Reason
1644417578,1376,job635_scenario0_1335,notAssignedYet,1335,notAssignedYet,long_waiting_time,
1644417579,1377,job636_scenario0_1336,notAssignedYet,1336,notAssignedYet,long_waiting_time,
1644417581,1389,job639_scenario0_1348,notAssignedYet,1348,notAssignedYet,long_waiting_time,
1644417584,1410,job650_scenario0_1369,notAssignedYet,1369,notAssignedYet,long_waiting_time,
1644417588,1433,job656_scenario0_1392,notAssignedYet,1392,notAssignedYet,long_waiting_time,
1644417596,1488,job672_scenario0_1447,notAssignedYet,1447,notAssignedYet,long_waiting_time,
1644417603,1533,job684_scenario0_1492,notAssignedYet,1492,notAssignedYet,long_waiting_time,
1644417613,1598,job706_scenario0_1557,notAssignedYet,1557,notAssignedYet,long_waiting_time,
1644417614,1607,job709_scenario0_1566,notAssignedYet,1566,notAssignedYet,long_waiting_time,
1644417617,1626,job716_scenario0_1585,notAssignedYet,1585,notAssignedYet,long_waiting_time,
1644417617,1630,job717_scenario0_1589,notAssignedYet,1589,notAssignedYet,long_waiting_time,
1644417618,1636,job719_scenario2_1595,notAssignedYet,1595,notAssignedYet,long_waiting_time,
1644417625,1683,job734_scenario0_1642,notAssignedYet,1642,notAssignedYet,long_waiting_time,
1644417652,1879,job789_scenario0_1838,notAssignedYet,1838,notAssignedYet,long_waiting_time,
1644417659,1933,job803_scenario0_1892,notAssignedYet,1892,notAssignedYet,long_waiting_time,
1644417679,2098,job846_scenario0_2057,notAssignedYet,2057,notAssignedYet,long_waiting_time,
1644417682,2122,job854_scenario0_2081,notAssignedYet,2081,notAssignedYet,long_waiting_time,
1644417688,2181,job868_scenario0_2140,notAssignedYet,2140,notAssignedYet,long_waiting_time,
