participantId,,park_scenario_a_time,park_scenario_a_time_start,park_scenario_a_time_end,park_scenario_a_quality,park_scenario_a_type,park_scenario_a_order,turn_left_scenario_a_time,turn_left_scenario_a_time_start,turn_left_scenario_a_time_end,turn_left_scenario_a_quality,turn_left_scenario_a_type,turn_left_scenario_a_order,slow_vehicle_scenario_a_time,slow_vehicle_scenario_a_time_start,slow_vehicle_scenario_a_time_end,slow_vehicle_scenario_a_quality,slow_vehicle_scenario_a_type,slow_vehicle_scenario_a_order,foreign_object_scenario_a_time,foreign_object_scenario_a_time_start,foreign_object_scenario_a_time_end,foreign_object_scenario_a_quality,foreign_object_scenario_a_type,foreign_object_scenario_a_order,extreme_weather_scenario_a_time,extreme_weather_scenario_a_time_start,extreme_weather_scenario_a_time_end,extreme_weather_scenario_a_quality,extreme_weather_scenario_a_type,extreme_weather_scenario_a_order,park_scenario_a_time_participant,park_scenario_a_time_participant_start,park_scenario_a_time_participant_end,turn_left_scenario_a_time_participant,turn_left_scenario_a_time_participant_start,turn_left_scenario_a_time_participant_end,slow_vehicle_scenario_a_time_participant,slow_vehicle_scenario_a_time_participant_start,slow_vehicle_scenario_a_time_participant_end,foreign_object_scenario_a_time_participant,foreign_object_scenario_a_time_participant_start,foreign_object_scenario_a_time_participant_end,extreme_weather_scenario_a_time_participant,extreme_weather_scenario_a_time_participant_start,extreme_weather_scenario_a_time_participant_end
cn09,,129,1610979417,1610979546,3,hard,ascending,69,1610979695,1610979764,5,hard,ascending,87,1610979772,1610979859,5,hard,ascending,64,1610979864,1610979928,5,hard,ascending,64,1610979937,1610980001,5,hard,ascending,89,1610979462,1610979551,33,1610979734,1610979767,18,1610979843,1610979861,25,1610979909,1610979934,22,1610979983,1610980005
cn10,,171,1610983830,1610984001,3,hard,ascending,97,1610984204,1610984301,4,hard,ascending,106,1610984310,1610984416,5,hard,ascending,73,1610984425,1610984498,5,hard,ascending,100,1610984509,1610984609,5,hard,ascending,141,1610983866,1610984007,61,1610984246,1610984307,49,1610984373,1610984422,41,1610984465,1610984506,43,1610984571,1610984614
cn11,,252,1610987994,1610988246,3,hard,ascending,117,1610988259,1610988376,3,hard,ascending,103,1610988383,1610988486,2,hard,ascending,78,1610988664,1610988742,3,hard,ascending,109,1610988746,1610988855,5,hard,ascending,220,1610988033,1610988253,88,1610988292,1610988380,45,1610988444,1610988489,39,1610988703,1610988742,40,1610988821,1610988861
cn12,,318,1611123521,1611123839,0,hard,ascending,154,1611123856,1611124010,3,hard,ascending,152,1611124019,1611124171,2,hard,ascending,86,1611124176,1611124262,2,hard,ascending,103,1611124527,1611124630,5,hard,ascending,266,1611123588,1611123854,103,1611123913,1611124016,91,1611124082,1611124173,49,1611124217,1611124266,53,1611124582,1611124635
cn13,,125,1611226022,1611226147,3,hard,ascending,130,1611226152,1611226282,3,hard,ascending,68,1611226289,1611226357,2,hard,ascending,52,1611226362,1611226414,2,hard,ascending,57,1611226418,1611226475,5,hard,ascending,65,1611226084,1611226149,94,1611226192,1611226286,17,1611226343,1611226360,16,1611226399,1611226415,22,1611226456,1611226478
fh5,,183,1610038086,1610038269,3,easy,ascending,75,1610038279,1610038354,1,easy,ascending,70,1610038361,1610038431,2,easy,ascending,68,1610038475,1610038543,5,easy,ascending,328,1610038641,1610038969,5,easy,ascending,156,1610038119,1610038275,41,1610038315,1610038356,56,1610038414,1610038470,26,1610038520,1610038546,37,1610038934,1610038971
in1,,152,1609864098,1609864250,3,easy,ascending,76,1609864288,1609864364,4,easy,ascending,63,1609864372,1609864435,5,easy,ascending,102,1609864453,1609864555,5,easy,ascending,75,1609864561,1609864636,5,easy,ascending,95,1609864158,1609864253,46,1609864318,1609864364,16,1609864426,1609864442,31,1609864524,1609864555,27,1609864604,1609864631
in10,,152,1610382985,1610383137,2,easy,descending,49,1610382931,1610382980,5,easy,descending,61,1610382865,1610382926,5,easy,descending,53,1610382802,1610382855,2,easy,descending,62,1610382730,1610382792,5,easy,descending,122,1610383016,1610383138,16,1610382961,1610382977,12,1610382914,1610382926,15,1610382834,1610382849,32,1610382765,1610382797
in11,,140,1610470446,1610470586,2,easy,descending,106,1610470330,1610470436,2,easy,descending,142,1610470180,1610470322,2,easy,descending,50,1610470122,1610470172,5,easy,descending,66,1610470046,1610470112,5,easy,descending,51,1610470535,1610470586,76,1610470364,1610470440,21,1610470302,1610470323,16,1610470158,1610470174,29,1610470087,1610470116
in12,,298,1610475708,1610476006,2,easy,descending,91,1610475607,1610475698,2,easy,descending,334,1610475044,1610475378,1,easy,descending,63,1610474853,1610474916,3,easy,descending,281,1610474564,1610474845,2,easy,descending,227,1610475781,1610476008,63,1610475642,1610475705,220,1610475163,1610475383,28,1610474890,1610474918,67,1610474781,1610474848
in13,,74,1610462666,1610462740,5,easy,descending,60,1610462600,1610462660,5,easy,descending,56,1610462538,1610462594,5,easy,descending,44,1610462484,1610462528,5,easy,descending,67,1610462398,1610462465,5,easy,descending,46,1610462698,1610462744,25,1610462632,1610462657,7,1610462587,1610462594,14,1610462518,1610462532,35,1610462436,1610462471
in14,,117,1610467434,1610467551,4,easy,descending,78,1610467226,1610467304,5,easy,descending,76,1610467144,1610467220,3,easy,descending,55,1610467064,1610467119,4,easy,descending,74,1610466978,1610467052,3,easy,descending,87,1610467466,1610467553,46,1610467260,1610467306,21,1610467194,1610467215,36,1610467100,1610467136,42,1610467017,1610467059
in15,,86,1610551756,1610551842,5,easy,descending,169,1610551579,1610551748,3,easy,descending,102,1610551466,1610551568,5,easy,descending,73,1610551385,1610551458,5,easy,descending,69,1610551308,1610551377,5,easy,descending,54,1610551791,1610551845,138,1610551614,1610551752,49,1610551526,1610551575,41,1610551420,1610551461,37,1610551343,1610551380
in17,,370,1610559720,1610560090,2,easy,descending,143,1610559565,1610559708,4,easy,descending,109,1610559442,1610559551,5,easy,descending,76,1610559355,1610559431,5,easy,descending,100,1610559075,1610559175,4,easy,descending,45,1610560058,1610560103,114,1610559602,1610559716,54,1610559505,1610559559,49,1610559390,1610559439,72,1610559112,1610559184
in18,,193,1610569221,1610569414,2,easy,descending,110,1610569104,1610569214,4,easy,descending,96,1610568955,1610569051,4,easy,descending,68,1610568878,1610568946,5,easy,descending,109,1610568756,1610568865,4,easy,descending,64,1610569347,1610569411,56,1610569160,1610569216,34,1610569019,1610569053,37,1610568915,1610568952,36,1610568837,1610568873
in21,,213,1610651854,1610652067,5,easy,descending,78,1610651770,1610651848,5,easy,descending,80,1610651685,1610651765,5,easy,descending,89,1610651582,1610651671,5,easy,descending,126,1610651368,1610651494,2,easy,descending,149,1610651915,1610652064,21,1610651830,1610651851,19,1610651746,1610651765,57,1610651619,1610651676,91,1610651405,1610651496
in22,,116,1610697081,1610697197,5,easy,descending,93,1610696983,1610697076,5,easy,descending,94,1610696882,1610696976,5,easy,descending,62,1610696812,1610696874,5,easy,descending,63,1610696595,1610696658,5,easy,descending,76,1610697117,1610697193,54,1610697022,1610697076,18,1610696958,1610696976,25,1610696854,1610696879,37,1610696637,1610696674
in23,,133,1610893131,1610893264,5,hard,descending,82,1610893043,1610893125,5,hard,descending,70,1610892969,1610893039,5,hard,descending,42,1610892920,1610892962,2,hard,descending,63,1610892850,1610892913,5,hard,descending,94,1610893164,1610893258,47,1610893078,1610893125,9,1610893028,1610893037,10,1610892952,1610892962,30,1610892885,1610892915
