RecordTimeStamp,CurrentSystemTick,JobsId,WorkerId,ArrivalTime,AssignTime,Reason
1644425023,1513,job699_scenario0_1472,notAssignedYet,1472,notAssignedYet,long_waiting_time,
1644425024,1519,job700_scenario0_1478,notAssignedYet,1478,notAssignedYet,long_waiting_time,
1644425030,1558,job714_scenario0_1517,notAssignedYet,1517,notAssignedYet,long_waiting_time,
1644425030,1560,job715_scenario1_1519,notAssignedYet,1519,notAssignedYet,long_waiting_time,
1644425033,1578,job722_scenario1_1537,notAssignedYet,1537,notAssignedYet,long_waiting_time,
1644425033,1583,job725_scenario0_1542,notAssignedYet,1542,notAssignedYet,long_waiting_time,
1644425033,1586,job726_scenario0_1545,notAssignedYet,1545,notAssignedYet,long_waiting_time,
1644425035,1596,job729_scenario0_1555,notAssignedYet,1555,notAssignedYet,long_waiting_time,
1644425036,1605,job733_scenario0_1564,notAssignedYet,1564,notAssignedYet,long_waiting_time,
1644425039,1628,job739_scenario0_1587,notAssignedYet,1587,notAssignedYet,long_waiting_time,
1644425040,1634,job741_scenario0_1593,notAssignedYet,1593,notAssignedYet,long_waiting_time,
1644425040,1638,job743_scenario0_1597,notAssignedYet,1597,notAssignedYet,long_waiting_time,
1644425044,1664,job753_scenario0_1623,notAssignedYet,1623,notAssignedYet,long_waiting_time,
1644425045,1679,job757_scenario0_1638,notAssignedYet,1638,notAssignedYet,long_waiting_time,
1644425049,1706,job766_scenario0_1665,notAssignedYet,1665,notAssignedYet,long_waiting_time,
1644425049,1708,job767_scenario1_1667,notAssignedYet,1667,notAssignedYet,long_waiting_time,
1644425051,1721,job773_scenario1_1680,notAssignedYet,1680,notAssignedYet,long_waiting_time,
1644425051,1725,job774_scenario0_1684,notAssignedYet,1684,notAssignedYet,long_waiting_time,
1644425052,1728,job775_scenario0_1687,notAssignedYet,1687,notAssignedYet,long_waiting_time,
1644425053,1734,job778_scenario1_1693,notAssignedYet,1693,notAssignedYet,long_waiting_time,
1644425053,1738,job780_scenario0_1697,notAssignedYet,1697,notAssignedYet,long_waiting_time,
1644425056,1763,job789_scenario1_1722,notAssignedYet,1722,notAssignedYet,long_waiting_time,
1644425057,1773,job794_scenario0_1732,notAssignedYet,1732,notAssignedYet,long_waiting_time,
1644425058,1780,job796_scenario1_1739,notAssignedYet,1739,notAssignedYet,long_waiting_time,
1644425061,1797,job800_scenario0_1756,notAssignedYet,1756,notAssignedYet,long_waiting_time,
1644425066,1844,job817_scenario0_1803,notAssignedYet,1803,notAssignedYet,long_waiting_time,
1644425067,1849,job818_scenario0_1808,notAssignedYet,1808,notAssignedYet,long_waiting_time,
1644425073,1903,job835_scenario1_1862,notAssignedYet,1862,notAssignedYet,long_waiting_time,
1644425080,1967,job856_scenario0_1926,notAssignedYet,1926,notAssignedYet,long_waiting_time,
1644425080,1969,job857_scenario1_1928,notAssignedYet,1928,notAssignedYet,long_waiting_time,
1644425081,1972,job858_scenario0_1931,notAssignedYet,1931,notAssignedYet,long_waiting_time,
1644425081,1975,job859_scenario0_1934,notAssignedYet,1934,notAssignedYet,long_waiting_time,
1644425082,1981,job861_scenario0_1940,notAssignedYet,1940,notAssignedYet,long_waiting_time,
1644425100,2128,job903_scenario0_2087,notAssignedYet,2087,notAssignedYet,long_waiting_time,
1644425104,2160,job913_scenario1_2119,notAssignedYet,2119,notAssignedYet,long_waiting_time,
1644425139,2537,job996_scenario0_2496,notAssignedYet,2496,notAssignedYet,long_waiting_time,
